"shooterName","total_xReboundsPlus","total_xRebounds","total_shots","teamCode"
"Juha Jaaska"," 4.08429830","  5.1672480204",22,"CAR"
"Ty Smith"," 4.06758024","  4.8418125571",19,"CAR"
"Cole Reinhardt"," 3.90656977","  5.6504916064",17,"OTT"
"Nick Leddy"," 3.88581851","  5.8036047546",23,"STL"
"Jere Innala"," 3.68137395","  5.0404672176",12,"COL"
"Nikita Nesterenko"," 3.65935525","  5.7844800358",20,"ANA"
"Oliver Kapanen"," 3.61768856","  5.6758862250",18,"MTL"
"Olle Lycksell"," 3.56646287","  6.5167254237",22,"PHI"
"Logan Mailloux"," 3.52170574","  3.6187605400",14,"MTL"
"Marc-Edouard Vlasic"," 3.51713669","  2.6374929411",15,"SJS"
"Tobias Bjornfot"," 3.37263198","  5.1066710785",15,"FLA"
"Marc McLaughlin"," 3.27391351","  4.4352631946",18,"BOS"
"Oskar Bck"," 3.19687845","  4.9123861110",16,"DAL"
"Callahan Burke"," 3.16770853","  4.7662751563",15,"VGK"
"Grant Hutton"," 3.10031643","  3.8794668019",15,"NYI"
"Scott Morrow"," 3.07762474","  3.2407483772",19,"CAR"
"Emil Bemstrom"," 3.06836395","  4.9773984039",17,"PIT"
"Noah Philp"," 3.05769738","  5.7173694037",18,"EDM"
"Artyom Levshunov"," 2.99328580","  3.1178530837",17,"CHI"
"Kurtis MacDermid"," 2.98238958","  5.3251500695",11,"NJD"
"Calum Ritchie"," 2.93929821","  5.1806243379",17,"COL"
"Linus Karlsson"," 2.93923127","  4.8700772487",13,"VAN"
"Robert Bortuzzo"," 2.90415923","  3.1587924324",11,"UTA"
"Alex Nylander"," 2.85243697","  3.2871601805",8,"TOR"
"Jonas Rondbjerg"," 2.81948435","  3.7476190873",14,"VGK"
"Janis Moser"," 2.80946990","  3.2601910545",14,"TBL"
"Nils Aman"," 2.80935292","  5.2278265506",12,"VAN"
"Bokondji Imama"," 2.80345676","  3.5576555724",12,"PIT"
"Patrick Giles"," 2.75750389","  4.4925327208",17,"SJS"
"Nikita Chibrikov"," 2.70844198","  3.8871538201",9,"WPG"
