"X","Date","Period","Fighter1","Fighter1WinPct","Fighter1Team","Fighter2","Fighter2WinPct","Fighter2Team","playerId.x","position.x","team.x","Fighter1BirthDate","Fighter1Weight","Fighter1Height","nationality.x","shootsCatches.x","primaryNumber.x","primaryPosition.x","playerId.y","position.y","team.y","Fighter2BirthDate","Fighter2Weight","Fighter2Height","nationality.y","shootsCatches.y","primaryNumber.y","primaryPosition.y","Fighter1HeightInches","Fighter2HeightInches","HeightDiff","WeightDiff","Fighter1Age","Fighter2Age","AgeDiff","Win","Fighter1Handedness","Fighter2Handedness","HandednessDiff","Fighter1Position","Fighter2Position"
NA,2023-10-26,2,"Mark Kastelic",0.06,"OTT","Matt Martin",0.29,"NYI",8480355,"C","BOS","1999-03-11",210,"6' 3""","USA","R",47,"C",8474709,"L","NYI","1989-05-08",220,"6' 3""","CAN","L",17,"L",75,75,0,-10,24.5927318295739,34.4192298929141,-9.82649806334017,0,"R","L",1,"F","F"
NA,2023-10-26,1,"Robert Bortuzzo",0.14,"STL","A.J. Greer",0.31,"CGY",8474145,"D","UTA","1989-03-18",216,"6' 4""","CAN","R",41,"D",8478421,"L","FLA","1996-12-14",210,"6' 3""","CAN","L",24,"L",76,75,1,6,34.5585554796081,26.8264980633402,7.73205741626794,0,"R","L",1,"D","F"
NA,2023-10-27,1,"Connor Clifton",0.17,"BUF","Ondrej Palat",0.06,"NJD",8477365,"D","BUF","1995-04-28",175,"5' 11""","USA","R",75,"D",8476292,"L","NJD","1991-03-28",188,"6' 0""","CZE","L",18,"L",71,72,-1,-13,28.4588744588745,32.5380496696286,-4.07917521075415,1,"R","L",1,"D","F"
NA,2023-10-28,1,"Ross Johnston",0.24,"ANA","Nicolas Deslauriers",0.43,"PHI",8477527,"L","ANA","1994-02-18",235,"6' 5""","CAN","L",32,"L",8475235,"L","PHI","1991-02-22",221,"6' 1""","CAN","L",20,"L",77,73,4,14,29.6480975165186,32.6337434495329,-2.98564593301435,0,"L","L",0,"F","F"
NA,2023-10-28,3,"Brenden Dillon",0.89,"WPG","Tanner Pearson",0,"MTL",8475455,"D","NJD","1990-11-13",225,"6' 4""","CAN","L",4,"D",8476871,"L","VGK","1992-08-10",201,"6' 1""","CAN","L",14,"L",76,73,3,24,32.9098883572568,31.1711095921622,1.73877876509456,1,"L","L",0,"D","F"
NA,2023-10-28,2,"Nicolas Hague",0.29,"VGK","Andreas Englund",0.14,"LAK",8479980,"D","VGK","1998-12-05",215,"6' 6""","CAN","L",14,"D",8477971,"D","LAK","1996-01-21",189,"6' 3""","SWE","L",39,"D",78,75,3,26,24.860674413306,27.7287537024379,-2.86807928913192,1,"L","L",0,"D","D"
NA,2023-10-30,1,"Nick Foligno",0.96,"CHI","Liam O'Brien",0,"ARI",8473422,"L","CHI","1987-10-31",202,"6' 0""","USA","L",71,"L",8477070,"C","UTA","1994-07-29",215,"6' 1""","CAN","L",87,"C",72,73,-1,-13,35.9474823422192,29.2134882661198,6.73399407609934,1,"L","L",0,"F","F"
NA,2023-10-30,2,"Jarred Tinordi",0.87,"CHI","Jack McBain",0.05,"ARI",8475797,"D","CHI","1992-02-20",230,"6' 6""","USA","L",24,"D",8480855,"C","UTA","2000-01-06",201,"6' 3""","CAN","L",22,"C",78,75,3,29,31.6467304625199,23.780701754386,7.86602870813397,1,"L","L",0,"D","F"
NA,2023-11-01,3,"Sean Durzi",0.4,"ARI","Frank Vatrano",0.25,"ANA",8480434,"D","UTA","1998-10-21",195,"6' 0""","CAN","R",50,"D",8478366,"R","ANA","1994-03-14",201,"5' 9""","USA","L",72,"C",72,69,3,-6,24.9947596263386,29.5934153565732,-4.59865573023468,1,"R","L",1,"D","F"
NA,2023-11-02,2,"Phillip Di Giuseppe",0.17,"VAN","Luke Kunin",0.04,"SJS",8476858,"L","VAN","1993-10-09",192,"6' 0""","CAN","L",7,"L",8479316,"C","SJS","1997-12-04",195,"6' 0""","USA","R",19,"C",72,72,0,-3,30.0227842333105,25.8750284802916,4.14775575301891,1,"L","R",1,"F","F"
